step,total_steps,loss,reward_avg,reward_std,kl_loss,policy_ratio,num_answerable,correct_of_answerable,answered_of_answerable,abstained_of_answerable,malformed_of_answerable,num_unanswerable,answered_of_unanswerable,abstained_of_unanswerable,malformed_of_unanswerable,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg
0,20,0.30258405208587646,0.25,0.4629100561141968,,,8,1,2,0,6,0,0,0,0,112.06611173384307,63.0,2.9802322387695312e-08,1.0690202713012695,
1,20,,0,0.0,,,0,0,0,0,0,8,7,0,1,90.2073867505128,16.25,0.0,0.0,
2,20,0.11981315910816193,0.375,0.5175491571426392,,,8,1,3,0,5,0,0,0,0,27.243420323480752,10.5,-1.4901161193847656e-08,1.0690230131149292,
3,20,,0,0.0,,,0,0,0,0,0,8,6,0,2,141.7860968978129,29.0,0.0,0.0,
4,20,,1,0.0,,,8,0,8,0,0,0,0,0,0,133.78213789658884,20.5,0.0,0.0,
5,20,,0,0.0,,,0,0,0,0,0,8,6,0,2,192.53077777240068,39.0,0.0,0.0,
6,20,,1,0.0,,,8,4,8,0,0,0,0,0,0,243.12751182179915,48.375,0.0,0.0,
7,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,215.04540029125354,18.0,0.0,0.0,
8,20,-0.12487605214118958,0.75,0.4629100561141968,,,8,5,6,1,1,0,0,0,0,107.45826816991514,57.875,-2.9802322387695312e-08,1.0690202713012695,
9,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,195.48464413378602,15.0,0.0,0.0,
10,20,-0.5597658753395081,0.875,0.3535533845424652,,,8,0,7,0,1,0,0,0,0,39.4473955473538,22.25,0.0,1.0690127611160278,
11,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,211.4901264110157,15.0,0.0,0.0,
12,20,,1,0.0,,,8,0,8,0,0,0,0,0,0,213.06720644702744,16.0,0.0,0.0,
13,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,205.64473377592242,15.0,0.0,0.0,
14,20,,1,0.0,,,8,8,8,0,0,0,0,0,0,205.73412447884942,15.0,0.0,0.0,
15,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,214.38489129567503,16.0,0.0,0.0,
16,20,,1,0.0,,,8,8,8,0,0,0,0,0,0,219.08710855869214,16.0,0.0,0.0,
17,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,218.14503472262206,16.875,0.0,0.0,
18,20,,1,0.0,,,8,0,8,0,0,0,0,0,0,217.99749587427794,16.0,0.0,0.0,
19,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,210.22240646394525,16.0,0.0,0.0,
