step,total_steps,loss,reward_avg,reward_std,kl_loss,policy_ratio,num_answerable,correct_of_answerable,answered_of_answerable,abstained_of_answerable,malformed_of_answerable,num_unanswerable,answered_of_unanswerable,abstained_of_unanswerable,malformed_of_unanswerable,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg
0,20,0.3460748791694641,0.25,0.4629100561141968,,,8,1,2,0,6,0,0,0,0,107.14507821990874,62.75,2.9802322387695312e-08,1.0690202713012695,
1,20,,0,0.0,,,0,0,0,0,0,8,7,0,1,154.72016002865428,9.0,0.0,0.0,
2,20,,1,0.0,,,8,1,8,0,0,0,0,0,0,158.34800156197483,8.0,0.0,0.0,
3,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,139.2242598169651,9.0,0.0,0.0,
4,20,0.03148115426301956,0.25,0.4629100561141968,,,8,0,2,0,6,0,0,0,0,21.882789545273713,9.25,2.9802322387695312e-08,1.0690202713012695,
5,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,140.62194443397513,9.0,0.0,0.0,
6,20,,1,0.0,,,8,7,8,0,0,0,0,0,0,159.32600676046354,9.0,0.0,0.0,
7,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,174.31349078233032,10.0,0.0,0.0,
8,20,,1,0.0,,,8,8,8,0,0,0,0,0,0,157.31579909408728,9.0,0.0,0.0,
9,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,132.67952951275927,8.0,0.0,0.0,
10,20,,1,0.0,,,8,0,8,0,0,0,0,0,0,157.3308527198016,9.0,0.0,0.0,
11,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,161.24450530527088,8.0,0.0,0.0,
12,20,,1,0.0,,,8,5,8,0,0,0,0,0,0,173.19153767364202,10.0,0.0,0.0,
13,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,153.3782305454889,8.0,0.0,0.0,
14,20,,1,0.0,,,8,8,8,0,0,0,0,0,0,153.17727651474712,8.0,0.0,0.0,
15,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,169.36351250094947,9.0,0.0,0.0,
16,20,,1,0.0,,,8,8,8,0,0,0,0,0,0,161.25284500335482,9.0,0.0,0.0,
17,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,119.87696698016605,14.125,0.0,0.0,
18,20,,1,0.0,,,8,0,8,0,0,0,0,0,0,163.73471301560875,9.0,0.0,0.0,
19,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,157.76768919019202,9.0,0.0,0.0,
