step,total_steps,loss,reward_avg,reward_std,kl_loss,policy_ratio,num_answerable,correct_of_answerable,answered_of_answerable,abstained_of_answerable,malformed_of_answerable,num_unanswerable,answered_of_unanswerable,abstained_of_unanswerable,malformed_of_unanswerable,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg
0,20,,1,0.0,,,8,7,8,0,0,0,0,0,0,304.72971736926814,76.25,0.0,0.0,
1,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,203.41151452326275,127.375,0.0,0.0,
2,20,,1,0.0,,,8,4,8,0,0,0,0,0,0,267.55648332353474,101.0,0.0,0.0,
3,20,0.0288725346326828,0.125,0.3535533845424652,,,0,0,0,0,0,8,7,1,0,96.82622341087821,117.625,0.0,1.0690127611160278,
4,20,,1,0.0,,,8,1,8,0,0,0,0,0,0,275.5684242205417,89.125,0.0,0.0,
5,20,-0.022131770849227905,0.75,0.4629100561141968,,,0,0,0,0,0,8,2,6,0,116.29485383099599,157.0,-2.9802322387695312e-08,1.0690202713012695,
6,20,,1,0.0,,,8,8,8,0,0,0,0,0,0,262.2154363417713,101.125,0.0,0.0,
7,20,,1,0.0,,,0,0,0,0,0,8,0,8,0,224.84035308081587,128.75,0.0,0.0,
8,20,-0.06531906127929688,0.875,0.3535533845424652,,,8,3,7,0,1,0,0,0,0,91.89069433637013,96.5,0.0,1.0690127611160278,
9,20,,1,0.0,,,0,0,0,0,0,8,0,8,0,285.59892463602984,110.5,0.0,0.0,
10,20,,1,0.0,,,8,7,8,0,0,0,0,0,0,259.9021951576508,131.125,0.0,0.0,
11,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,275.3586462063203,78.625,0.0,0.0,
12,20,,1,0.0,,,8,5,8,0,0,0,0,0,0,241.33151120753686,117.125,0.0,0.0,
13,20,,1,0.0,,,0,0,0,0,0,8,0,8,0,232.08327687220964,121.625,0.0,0.0,
14,20,,1,0.0,,,8,8,8,0,0,0,0,0,0,216.38144866779078,92.75,0.0,0.0,
15,20,0.32062965631484985,0.5,0.5345224738121033,,,0,0,0,0,0,8,4,4,0,113.68733336015514,145.75,0.0,1.069023609161377,
16,20,0.004692930728197098,0.875,0.3535533845424652,,,8,7,7,1,0,0,0,0,0,45.30622925375524,95.125,0.0,1.0690127611160278,
17,20,-0.21880772709846497,0.875,0.3535533845424652,,,0,0,0,0,0,8,1,7,0,16.97419237844425,159.125,0.0,1.0690127611160278,
18,20,,1,0.0,,,8,8,8,0,0,0,0,0,0,228.23744362469773,95.75,0.0,0.0,
19,20,0.0726420134305954,0.25,0.4629100561141968,,,0,0,0,0,0,8,6,2,0,8.029111948427525,116.875,2.9802322387695312e-08,1.0690202713012695,
