step,total_steps,mem_live,mem_total,loss,reward_avg,reward_std,kl_loss,policy_ratio,num_answerable,correct_of_answerable,answered_of_answerable,abstained_of_answerable,malformed_of_answerable,num_unanswerable,answered_of_unanswerable,abstained_of_unanswerable,malformed_of_unanswerable,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg
0,20,1.199732992,2.008825856,,1,0.0,,,8,6,8,0,0,0,0,0,0,183.58316016080224,90.75,0.0,0.0,
1,20,4.97448576,13.190823936,-0.06837533414363861,0.125,0.25,,,0,0,0,0,0,8,7,1,0,87.07069659902328,99.5,1.4901161193847656e-08,0.5773369073867798,
2,20,4.93876352,14.711259136,0.008501693606376648,0.875,0.25,,,8,5,7,0,1,0,0,0,0,102.74007559804427,91.375,-1.4901161193847656e-08,0.5773369073867798,
3,20,4.941326848,17.33689344,-0.015223532915115356,0.75,0.28867512941360474,,,0,0,0,0,0,8,2,6,0,82.21183347044482,105.375,0.0,0.577338695526123,
4,20,3.70425984,14.625275904,,1,0.0,,,8,6,8,0,0,0,0,0,0,156.18973579966286,93.875,0.0,0.0,
5,20,3.704260352,10.095427584,,0.5,0.0,,,0,0,0,0,0,8,3,4,1,111.76922395189987,59.5,0.0,0.0,
6,20,4.9385664,14.224719872,0.051992256194353104,0.875,0.25,,,8,7,7,0,1,0,0,0,0,99.0918334742061,83.625,-1.4901161193847656e-08,0.5773369073867798,
7,20,4.965300736,14.602207232,0.08020277321338654,0.25,0.5,,,0,0,0,0,0,8,3,2,3,29.70533962360085,22.375,2.9802322387695312e-08,1.1546738147735596,
8,20,3.704254208,11.221598208,,1,0.0,,,8,8,8,0,0,0,0,0,0,206.9057736154877,77.125,0.0,0.0,
9,20,4.93726336,16.883908608,0.03424467146396637,0.625,0.25,,,0,0,0,0,0,8,3,5,0,95.44491313231086,112.75,1.4901161193847656e-08,0.5773369073867798,
10,20,4.950566912,17.118789632,-0.25601062178611755,0.875,0.25,,,8,7,7,0,1,0,0,0,0,113.64846046271741,126.75,-1.4901161193847656e-08,0.5773369073867798,
11,20,4.933330688,18.746179584,-0.06474253535270691,0.75,0.5,,,0,0,0,0,0,8,2,6,0,107.7758534865568,138.125,-2.9802322387695312e-08,1.1546738147735596,
12,20,4.934842368,18.213502976,-0.058572620153427124,0.875,0.25,,,8,4,7,0,1,0,0,0,0,90.74067500570948,120.125,-1.4901161193847656e-08,0.5773369073867798,
13,20,4.95350656,15.68014336,0.037974536418914795,0.625,0.25,,,0,0,0,0,0,8,1,5,2,98.3815473811519,79.375,1.4901161193847656e-08,0.5773369073867798,
14,20,4.950100736,17.072652288,-0.4015037715435028,0.75,0.28867512941360474,,,8,6,6,0,2,0,0,0,0,107.00593644766609,92.875,0.0,0.577338695526123,
15,20,4.957714432,18.337234944,0.018370553851127625,0.625,0.25,,,0,0,0,0,0,8,3,5,0,115.24987886410025,125.75,1.4901161193847656e-08,0.5773369073867798,
16,20,4.962457088,16.898588672,-0.18162080645561218,0.875,0.25,,,8,7,7,1,0,0,0,0,0,115.57111525565091,96.625,-1.4901161193847656e-08,0.5773369073867798,
17,20,3.704256,14.449115136,,1,0.0,,,0,0,0,0,0,8,0,8,0,201.36338011229358,76.625,0.0,0.0,
18,20,4.977641728,20.56650752,-0.004763707518577576,0.5,0.5,,,8,3,4,2,2,0,0,0,0,62.02755712606406,195.375,0.0,1.1546738147735596,
19,20,4.960170752,19.541000192,-0.25140145421028137,0.5,0.5773502588272095,,,0,0,0,0,0,8,2,4,2,90.86419814544787,173.5,0.0,1.154677391052246,
