step,total_steps,mem_live,mem_total,loss,reward_avg,reward_std,kl_loss,policy_ratio,num_answerable,correct_of_answerable,answered_of_answerable,abstained_of_answerable,malformed_of_answerable,num_unanswerable,answered_of_unanswerable,abstained_of_unanswerable,malformed_of_unanswerable,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg
0,20,1.199725824,2.00916992,,1,0.0,,,8,7,8,0,0,0,0,0,0,282.028730439194,76.25,0.0,0.0,
1,20,1.199734528,1.933361152,,0,0.0,,,0,0,0,0,0,8,8,0,0,202.14186396613374,127.375,0.0,0.0,
2,20,1.199729408,1.765588992,,1,0.0,,,8,4,8,0,0,0,0,0,0,223.85912793344428,101.0,0.0,0.0,
3,20,4.825326848,15.5103232,0.0288725346326828,0.125,0.3535533845424652,,,0,0,0,0,0,8,7,1,0,98.67757714513691,117.625,0.0,1.0690127611160278,
4,20,3.610667008,12.901466112,,1,0.0,,,8,1,8,0,0,0,0,0,0,171.3904884454585,89.125,0.0,0.0,
5,20,4.821591296,17.106255872,-0.022131770849227905,0.75,0.4629100561141968,,,0,0,0,0,0,8,2,6,0,146.38060195053276,157.0,-2.9802322387695312e-08,1.0690202713012695,
6,20,3.610667776,15.3530368,,1,0.0,,,8,8,8,0,0,0,0,0,0,283.60339017527207,101.125,0.0,0.0,
7,20,3.610671872,7.704723456,,1,0.0,,,0,0,0,0,0,8,0,8,0,262.7337353465686,128.75,0.0,0.0,
8,20,4.84609024,13.299924992,-0.06531906127929688,0.875,0.3535533845424652,,,8,3,7,0,1,0,0,0,0,140.95763612057044,96.5,0.0,1.0690127611160278,
9,20,3.61067008,12.0500224,,1,0.0,,,0,0,0,0,0,8,0,8,0,304.7347120675336,110.5,0.0,0.0,
10,20,3.610672128,7.704723456,,1,0.0,,,8,7,8,0,0,0,0,0,0,282.17792844404096,131.125,0.0,0.0,
11,20,3.610664192,7.704723456,,0,0.0,,,0,0,0,0,0,8,8,0,0,281.9230407364667,78.625,0.0,0.0,
12,20,3.610671872,7.704723456,,1,0.0,,,8,5,8,0,0,0,0,0,0,259.3789426379009,117.125,0.0,0.0,
13,20,3.61067264,7.704723456,,1,0.0,,,0,0,0,0,0,8,0,8,0,250.1892918533873,121.625,0.0,0.0,
14,20,3.6106688,7.704723456,,1,0.0,,,8,8,8,0,0,0,0,0,0,247.6533667704052,92.75,0.0,0.0,
15,20,4.841315584,16.68472832,0.32062965631484985,0.5,0.5345224738121033,,,0,0,0,0,0,8,4,4,0,134.00420801072312,145.75,0.0,1.069023609161377,
16,20,4.843143424,15.527100416,0.004692930728197098,0.875,0.3535533845424652,,,8,7,7,1,0,0,0,0,0,124.38065985876942,95.125,0.0,1.0690127611160278,
17,20,4.828017152,18.148540416,-0.21880772709846497,0.875,0.3535533845424652,,,0,0,0,0,0,8,1,7,0,126.87485294938409,159.125,0.0,1.0690127611160278,
18,20,3.6106688,15.32157952,,1,0.0,,,8,8,8,0,0,0,0,0,0,265.2077743706267,98.875,0.0,0.0,
19,20,4.877423616,15.757787136,-0.2544538378715515,0.625,0.5175491571426392,,,0,0,0,0,0,8,3,5,0,116.07763713947882,105.0,-1.4901161193847656e-08,1.0690230131149292,
