step,total_steps,mem_live,mem_total,loss,reward_avg,reward_std,kl_loss,policy_ratio,num_answerable,correct_of_answerable,answered_of_answerable,abstained_of_answerable,malformed_of_answerable,num_unanswerable,answered_of_unanswerable,abstained_of_unanswerable,malformed_of_unanswerable,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg
0,20,1.199725824,2.042724352,,1,0.0,,,8,7,8,0,0,0,0,0,0,298.01737835460597,76.25,0.0,0.0,
1,20,1.199734528,2.042773504,,0,0.0,,,0,0,0,0,0,8,8,0,0,282.75435023465013,127.375,0.0,0.0,
2,20,1.199729408,2.042822656,,1,0.0,,,8,4,8,0,0,0,0,0,0,287.8621824278627,101.0,0.0,0.0,
3,20,4.818445568,15.517073408,0.0288725346326828,0.125,0.3535533845424652,,,0,0,0,0,0,8,7,1,0,87.83416057261465,117.625,0.0,1.0690127611160278,
4,20,3.607527168,15.519219712,,1,0.0,,,8,1,8,0,0,0,0,0,0,278.9941152678961,89.125,0.0,0.0,
5,20,4.856128768,17.26619648,-0.022131770849227905,0.75,0.4629100561141968,,,0,0,0,0,0,8,2,6,0,138.72810918559838,157.0,-2.9802322387695312e-08,1.0690202713012695,
6,20,3.607527936,17.26619648,,1,0.0,,,8,8,8,0,0,0,0,0,0,264.76933125934477,101.125,0.0,0.0,
7,20,3.607532032,17.20123392,,1,0.0,,,0,0,0,0,0,8,0,8,0,229.54321670654844,128.75,0.0,0.0,
8,20,4.859328512,17.25161472,-0.06531906127929688,0.875,0.3535533845424652,,,8,3,7,0,1,0,0,0,0,132.57520941361875,96.5,0.0,1.0690127611160278,
9,20,3.607528704,17.251663872,,1,0.0,,,0,0,0,0,0,8,0,8,0,283.63910899948536,110.5,0.0,0.0,
10,20,3.607530752,17.201381376,,1,0.0,,,8,7,8,0,0,0,0,0,0,261.9179970793704,131.125,0.0,0.0,
11,20,3.607522816,17.201430528,,0,0.0,,,0,0,0,0,0,8,8,0,0,262.0086791108195,78.625,0.0,0.0,
12,20,3.607530496,17.20147968,,1,0.0,,,8,5,8,0,0,0,0,0,0,250.03128726225978,117.125,0.0,0.0,
13,20,3.607531264,17.201528832,,1,0.0,,,0,0,0,0,0,8,0,8,0,239.36428731541662,121.625,0.0,0.0,
14,20,3.607527424,17.201528832,,1,0.0,,,8,8,8,0,0,0,0,0,0,225.50783619590294,92.75,0.0,0.0,
15,20,4.869496064,19.730743296,0.32062965631484985,0.5,0.5345224738121033,,,0,0,0,0,0,8,4,4,0,125.38962235216279,145.75,0.0,1.069023609161377,
16,20,4.852187392,19.720257536,0.004692930728197098,0.875,0.3535533845424652,,,8,7,7,1,0,0,0,0,0,101.9267566933398,95.125,0.0,1.0690127611160278,
17,20,4.844204544,22.551461888,-0.21880772709846497,0.875,0.3535533845424652,,,0,0,0,0,0,8,1,7,0,18.702140373102335,159.125,0.0,1.0690127611160278,
18,20,3.607528192,22.486450176,,1,0.0,,,8,8,8,0,0,0,0,0,0,151.7152100769031,98.75,0.0,0.0,
19,20,4.83620224,22.545219584,-0.3129357695579529,0.625,0.5175491571426392,,,0,0,0,0,0,8,3,5,0,6.924390625820228,117.375,-7.450580596923828e-09,1.0690230131149292,
