step,total_steps,mem_live,mem_total,loss,reward_avg,reward_std,kl_loss,policy_ratio,num_answerable,correct_of_answerable,answered_of_answerable,abstained_of_answerable,malformed_of_answerable,num_unanswerable,answered_of_unanswerable,abstained_of_unanswerable,malformed_of_unanswerable,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg
0,20,1.1997248,2.143387648,,1,0.0,,,8,7,8,0,0,0,0,0,0,280.8583573639393,71.25,0.0,0.0,
1,20,4.850098432,14.249934848,0.09206356108188629,0.25,0.4629100561141968,,,0,0,0,0,0,8,6,2,0,104.08001405566462,128.0,2.9802322387695312e-08,1.0690202713012695,
2,20,3.618666496,12.53236736,,1,0.0,,,8,4,8,0,0,0,0,0,0,261.7317250514006,126.25,0.0,0.0,
3,20,4.880175872,15.23769344,0.21490854024887085,0.25,0.4629100561141968,,,0,0,0,0,0,8,6,2,0,124.79626471530383,116.0,2.9802322387695312e-08,1.0690202713012695,
4,20,3.61866496,12.964380672,,1,0.0,,,8,0,8,0,0,0,0,0,0,211.10158082663094,91.875,0.0,0.0,
5,20,4.85600256,19.020955648,-0.4265061914920807,0.75,0.4629100561141968,,,0,0,0,0,0,8,1,6,1,51.41139394372704,161.0,-2.9802322387695312e-08,1.0690202713012695,
6,20,4.85730304,18.337284096,-0.08927629888057709,0.875,0.3535533845424652,,,8,6,7,0,1,0,0,0,0,65.2505349357038,119.25,0.0,1.0690127611160278,
7,20,4.866349824,17.437605888,0.23357509076595306,0.875,0.3535533845424652,,,0,0,0,0,0,8,1,7,0,136.75647326567588,153.75,0.0,1.0690127611160278,
8,20,4.84956416,16.437264384,-0.004415631294250488,0.5,0.5345224738121033,,,8,3,4,3,1,0,0,0,0,138.86777023380708,103.5,0.0,1.069023609161377,
9,20,3.618663168,13.929070592,,1,0.0,,,0,0,0,0,0,8,0,8,0,253.89892703853934,86.375,0.0,0.0,
10,20,3.618669824,6.362546176,,0,0.0,,,8,0,0,7,1,0,0,0,0,208.85532781103652,119.75,0.0,0.0,
11,20,4.874800384,15.084601344,0.07429206371307373,0.5,0.5345224738121033,,,0,0,0,0,0,8,0,4,4,114.379717443803,109.75,0.0,1.069023609161377,
12,20,3.618662656,12.861620224,,0,0.0,,,8,0,0,8,0,0,0,0,0,289.4974717934247,104.625,0.0,0.0,
13,20,3.618664704,6.362546176,,1,0.0,,,0,0,0,0,0,8,0,8,0,245.31759143956137,103.25,0.0,0.0,
14,20,3.618661888,6.362546176,,0,0.0,,,8,0,0,7,1,0,0,0,0,284.5474592678163,95.875,0.0,0.0,
15,20,3.6186624,6.362546176,,1,0.0,,,0,0,0,0,0,8,0,8,0,271.1622914398504,105.625,0.0,0.0,
16,20,3.618662656,6.362546176,,0,0.0,,,8,0,0,8,0,0,0,0,0,292.142451340638,107.875,0.0,0.0,
17,20,3.61866496,6.362546176,,1,0.0,,,0,0,0,0,0,8,0,8,0,234.6520630661788,104.375,0.0,0.0,
18,20,3.618660864,6.362546176,,0,0.0,,,8,0,0,7,1,0,0,0,0,290.3271050465124,87.875,0.0,0.0,
19,20,3.618665472,6.362546176,,1,0.0,,,0,0,0,0,0,8,0,8,0,224.60952108665248,93.375,0.0,0.0,
